Date: 12/2/2016  1:17:15	Time [min] 		 Count update 		 Total Count 	 Minute Update time 1 [minutes]
				1 			 10 			 10
				2 			 8 			 18
				3 			 4 			 22
				4 			 1 			 23
				5 			 2 			 25
				6 			 4 			 29
				7 			 6 			 35
				8 			 3 			 38
				9 			 6 			 44
				10 			 4 			 48
				11 			 4 			 52
				12 			 1 			 53
				13 			 3 			 56
				14 			 1 			 57
				15 			 1 			 58
				16 			 1 			 59
				17 			 2 			 61
				18 			 2 			 63
				19 			 1 			 64
				20 			 2 			 66
				21 			 5 			 71
				22 			 13 			 84
				23 			 5 			 89
				24 			 4 			 93
				25 			 4 			 97
				26 			 3 			 100
				27 			 4 			 104
				28 			 7 			 111
				29 			 3 			 114
				30 			 7 			 121
				31 			 8 			 129
				32 			 8 			 137
				33 			 7 			 144
				34 			 5 			 149
				35 			 4 			 153
				36 			 5 			 158
				37 			 7 			 165
				38 			 12 			 177
				39 			 2 			 179
				40 			 7 			 186
				41 			 6 			 192
				42 			 12 			 204
				43 			 10 			 214
				44 			 8 			 222
				45 			 6 			 228
				46 			 1 			 229
				47 			 10 			 239
				48 			 1 			 240
				49 			 1 			 241
				50 			 2 			 243
				51 			 7 			 250
				52 			 8 			 258
				53 			 8 			 266
				54 			 10 			 276
				55 			 10 			 286
				56 			 11 			 297
				57 			 11 			 308
				58 			 8 			 316
				59 			 9 			 325
				60 			 6 			 331
				61 			 6 			 337
				62 			 1 			 338
				63 			 3 			 341
				64 			 1 			 342
				65 			 3 			 345
				66 			 2 			 347
				67 			 5 			 352
				68 			 6 			 358
				69 			 4 			 362
				70 			 4 			 366
				71 			 12 			 378
Date: 12/2/2016  2:17:15	Time [min] 		 Count update 		 Total Count 	 Minute Update time 1 [minutes]
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4383 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
				4384 			 0 			 0
Date: 12/2/2016  2:17:15	Time [min] 		 Count update 		 Total Count 	 Minute Update time 1 [minutes]
				1 			 6 			 6
